codice,descrizione,categoria,unita_misura,prezzo_listino
FER-001,Vite M4x10 zincata,Ferramenta,pz,0.05
FER-002,Vite M6x20 zincata,Ferramenta,pz,0.08
FER-042,Bullone M8x30 zincato,Ferramenta,pz,0.12
ELE-010,Cavo elettrico 2.5mm²,Componenti Elettrici,mt,1.20
ELE-011,Interruttore magnetotermico 16A,Componenti Elettrici,pz,8.50
IDR-005,Tubo in rame 15mm,Materiale Idraulico,mt,3.40
IDR-006,Raccordo a T 1/2",Materiale Idraulico,pz,1.80
UTE-003,Disco da taglio 125mm,Utensili,pz,2.30
CON-001,Nastro isolante nero,Materiale di Consumo,rot,1.10
CON-002,Guanti da lavoro taglia L,Materiale di Consumo,pa,3.90
ART-013,Morsettiera 12 poli 16mm²,Componenti Elettrici,pz,3.20
ART-015,Sensore di prossimità induttivo M18 PNP,Componenti Elettrici,pz,42.00
ART-016,Relè industriale 24VDC 4 contatti,Componenti Elettrici,pz,28.50
ART-043,Nastro isolante PVC 19mm nero (25m),Materiale di Consumo,pz,2.40
ART-044,Guanti da lavoro nitrile tg. L (100pz),Materiale di Consumo,conf,14.50
ART-045,Panno pulizia industriale rotolo (500 strappi),Materiale di Consumo,pz,22.00
